ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
581767,Кофе Carte Noire Original в зернах 800 г,https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g,2 199,2 199,CARTE NOIRE
642122,Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе,https://online.metro-cc.ru/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g,1 379,1 299,NESCAFE
74090,Кофе Jacobs Monarch растворимый (1.8г х 26шт),https://online.metro-cc.ru/products/jacobs-monarch-26x18g,499,479,JACOBS
220015,Кофе Julius Meinl Espresso Gran Aroma в зернах,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno,1 949,1 849,JULIUS MEINL
219222,Кофе Coferium White roast в зернах,https://online.metro-cc.ru/products/1kg-kofe-coferium-white-roast-v-zernah,1 599,1 519,COFERIUM
219193,Кофе Coferium Gold selection в зернах,https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah,1 599,1 519,COFERIUM
220013,Кофе Julius Meinl Cafe Crema Gourmet в зернах,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno,1 949,1 849,JULIUS MEINL
220012,Кофе Julius Meinl Espresso Deluxe в зернах,https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno,2 499,2 379,JULIUS MEINL
407889,Кофе Bushido Original растворимый,https://online.metro-cc.ru/products/bushido-sublimirovannyj-original-100g,659,699,BUSHIDO
36574,Кофе Bushido Red Katana в зернах,https://online.metro-cc.ru/products/bushido-red-1000g,1 699,1 599,BUSHIDO
546341,Кофе Ambassador Nero Espresso Roast в зернах,https://online.metro-cc.ru/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg,739,699,AMBASSADOR
287768,RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg,1 629,1 469,RIOBA
59409,Кофе Fresco Arabica Solo в зернах,https://online.metro-cc.ru/products/fresco-arabica-solo-v-zernah-1000-g,1 090,1 099,FRESCO
433965,Кофе Nescafe Gold растворимый,https://online.metro-cc.ru/products/nescafe-gold-190g,429,379,NESCAFE
230303,Кофе Monarch Original растворимый,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-500g,1 049,949,MONARCH
104561,Кофе Fresco Blend в зернах,https://online.metro-cc.ru/products/fresco-blend-1000g,1 090,1 099,FRESCO
654819,Кофе Julius Meinl Espresso Premium Collection в зернах,https://online.metro-cc.ru/products/v-zernah-julius-meinl-espresso-premium-kollekciya-1000g,2 149,2 039,JULIUS MEINL
110546,Кофе Bushido Black Katana в зернах,https://online.metro-cc.ru/products/kofe-zernovoj-bushido-black-katana-1000g,1 899,1 599,BUSHIDO
580564,Кофе Egoiste Arabica Premium натуральный жареный в зернах,https://online.metro-cc.ru/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg,1 749,2 369,EGOISTE
112993,Кофе Egoiste трюфель крема в зернах,https://online.metro-cc.ru/products/kofe-v-zernah-egoiste-tryufel-krema-1kg,1 549,2 190,EGOISTE
586897,Кофе Lavazza Crema e Aroma натуральный жареный в зернах,https://online.metro-cc.ru/products/lavazza-v-zernah-naturalnyj-zharenyj-crema-e-aroma-1kg,2 349,2 290,LAVAZZA
123742,Кофе Nescafe Classic растворимый порошкообразный с добавлением натурального жареного молотого кофе,https://online.metro-cc.ru/products/900g-nescafe-classic,999,999,NESCAFE
228778,Кофе Fresco Horeca arabica в зернах,https://online.metro-cc.ru/products/1kg-kofe-fresco-horeca-arabica-zerno,1 099,1 049,FRESCO
365548,Кофе Alta Roma Espresso в зернах,https://online.metro-cc.ru/products/kofe-alta-roma-espresso-v-zernakh-1kg,999,999,ALTA ROMA
287770,RIOBA Кофе в зернах натуральный жареный Silver,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-silver-1kg,1 329,1 259,RIOBA
132207,Кофе Jacobs Barista Crema в зернах,https://online.metro-cc.ru/products/kofe-jacobs-barista-crema-zernovoy-800g,1 199,1 129,JACOBS
32456,Кофе Lavazza Qualita Oro молотый,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-oro-250g,619,649,LAVAZZA
655857,Кофе Jacobs Crema в зернах,https://online.metro-cc.ru/products/jacobs-crema-zernovoj-1kg,1 249,1 249,JACOBS
133441,RIOBA Кофе в капсулах Dolce Gusto Latte Macciato 8 порций 16 капсул,https://online.metro-cc.ru/products/192g-kofe-v-kaps-rioba-dolce-gusto-latte-macc,439,419,RIOBA
654820,Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах,https://online.metro-cc.ru/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g,1 689,1 609,JULIUS MEINL
530966,RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g,299,284,RIOBA
287769,RIOBA Кофе в зернах натуральный жареный 80:20,https://online.metro-cc.ru/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg,1 529,1 299,RIOBA
122743,Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе,https://online.metro-cc.ru/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g,2 849,1 799,NESCAFE
427833,Кофе Lavazza Qualita Oro натуральный жареный в зернах,https://online.metro-cc.ru/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg,2 409,2 199,LAVAZZA
228285,Кофе Egoiste Captain в зернах,https://online.metro-cc.ru/products/1kg-kofe-egoiste-captain-v-zernah,2 629,2 469,EGOISTE
32459,Кофе Lavazza Crema e Gusto Classico молотый,https://online.metro-cc.ru/products/lavazza-naturalnyj-zharenyj-crema-e-gusto-250g,439,469,LAVAZZA
469363,Кофе Jardin Guatemala Atitlan натуральный растворимый,https://online.metro-cc.ru/products/jardin-guatemala-atitlan-naturalnyj-95-g,219,239,JARDIN
433965,Кофе Nescafe Gold растворимый,https://online.metro-cc.ru/products/nescafe-gold-190g,429,379,NESCAFE
72873,Кофе Egoiste Double Espresso,https://online.metro-cc.ru/products/egoiste-double-espresso-100g,399,399,EGOISTE
665877,Кофе Ambassador Blue Label в зернах,https://online.metro-cc.ru/products/ambassador-blue-label-zernovoj-1000-g,1 399,1 699,AMBASSADOR
530965,RIOBA Кофе в капсулах Armonioso для кофемашин Nespresso 11шт,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-armonioso-10x5g,299,284,RIOBA
133789,Напиток кофейный Jacobs 3в1 Классический 50 пакетиков,https://online.metro-cc.ru/products/napitok-kofeynyy-jacobs-3v1-klassicheskiy-50x135g,589,589,JACOBS
590985,Кофе Egoiste Very Special растворимый сублимированный,https://online.metro-cc.ru/products/egoiste-sublimirovannyj-very-special-100g,699,699,EGOISTE
119136,Кофе в капсулах Jardin Vanillia Rich&Sweet для кофемашин Nespresso 10шт,https://online.metro-cc.ru/products/10h5g-jardin-vanillia,279,279,JARDIN
551849,Кофе Nescafe Classic Crema растворимый,https://online.metro-cc.ru/products/nescafe-classic-crema-95-g,179,179,NESCAFE
226465,Кофе Alta Roma Vero в зернах,https://online.metro-cc.ru/products/kofe-alta-roma-vero-v-zernakh-1kg,1 199,1 199,ALTA ROMA
530968,RIOBA Кофе в капсулах Delicato для кофемашин Nespresso 11шт,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-delicato-10x5g,299,284,RIOBA
508640,Кофе Egoiste Noir молотый,https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-250g,469,409,EGOISTE
133439,RIOBA Кофе в капсулах Dolce Gusto Capuccino 8 порций 16 капсул,https://online.metro-cc.ru/products/192g-kofe-v-kaps-rioba-dolce-gusto-cappuccino,439,419,RIOBA
226399,Кофе Московская кофейня на паяхъ Арабика растворимый сублимированный,https://online.metro-cc.ru/products/moskovskaya-kofejnya-na-payah-sublimirovannyj-arabika-95g,359,349,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ
125676,Кофе Lebo Classic молотый для турки,https://online.metro-cc.ru/products/200g-lebo-classic-dlya-turki,219,219,LEBO CLASSIC
44332,Кофе Egoiste Espresso в зернах,https://online.metro-cc.ru/products/egoiste-espresso-1000g,2 469,2 349,EGOISTE
228292,Кофе Egoiste Truffle молотый,https://online.metro-cc.ru/products/250g-kofe-egoiste-truffle-molotyy,449,449,EGOISTE
72533,Набор кофе в капсулах Coffesso для кофемашин Nespresso ассорти 50шт,https://online.metro-cc.ru/products/coffesso-nabor-v-kapsulah-50-sht-h-5-g,1 199,1 329,COFFESSO
218716,Кофе Poetti Leggenda Oro в зернах,https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-oro-v-zernah,2 169,2 059,POETTI
469362,Кофе Jardin Colombia Medellin натуральный растворимый сублимированный,https://online.metro-cc.ru/products/jardin-naturalnyj-sublimirovannyj-colombia-medellin-95g,219,239,JARDIN
133726,Напиток кофейный Nescafe Mild 3в1 20 пакетиков,https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-myagkij,259,319,NESCAFE
226397,Кофе Московская кофейня на паяхъ Суаре растворимый сублимированный,https://online.metro-cc.ru/products/moskovskaya-kofejnya-na-payah-sublimirovannyj-suare-95g,279,279,МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ
218720,Кофе Poetti Daily Arabica в зернах,https://online.metro-cc.ru/products/1kg-kofe-poetti-daily-arabica-v-zernah,1 969,1 869,POETTI
526503,Кофе Fresco Arabica Doppio молотый в растворимом,https://online.metro-cc.ru/products/fresco-naturalnyj-s-dobavleniem-naturalnogo-zharenogo-molotogo-arabica-doppio-100g,249,249,FRESCO
561302,Кофе Jardin Americano Crema в зернах,https://online.metro-cc.ru/products/jardin-americano-crema-1000-g,1 399,1 599,JARDIN
77948,Кофе Julius Meinl Эспрессо в зернах,https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-grande-espresso-500g,1 459,1 379,JULIUS MEINL
133724,Напиток кофейный Nescafe Classic 3в1 20 пакетиков,https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-klassik,259,319,NESCAFE
223096,Кофе в капсулах Absolut Drive Americano Original для кофемашин Dolce Gusto 16шт,https://online.metro-cc.ru/products/16shth8g-kofe-absolut-amerikano-kapsuly-dg,359,399,ABSOLUT
59004,Кофе Bushido Red Katana молотый,https://online.metro-cc.ru/products/art_59004,509,669,BUSHIDO
528357,Кофе Egoiste Platinum,https://online.metro-cc.ru/products/egoiste-platinum-100-g,799,739,EGOISTE
598959,Кофе Egoiste Noir растворимый сублимированный,https://online.metro-cc.ru/products/egoiste-sublimirovannyj-noir-100g,469,469,EGOISTE
223100,Кофе в капсулах Absolut Drive Cappuccino with milk для кофемашин Dolce Gusto 16шт,https://online.metro-cc.ru/products/8shth6g8shth17g-kofe-absolut-kapuchino-kapsuly-dg,359,399,ABSOLUT
495117,Кофе Nescafe Gold Barista растворимый,https://online.metro-cc.ru/products/nescafe-gold-v-rastvorimom-barista-85g,279,279,NESCAFE
230306,Кофе Monarch Milligrano растворимый с молотым,https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-200g,449,449,MONARCH
44438,Кофе Origo Imperial Wiener Mischung в зернах,https://online.metro-cc.ru/products/art_44438,2 779,2 649,ORIGO
101497,Кофе Jardin Eclair в зернах,https://online.metro-cc.ru/products/jardin-eclair-1000g,1 399,1 329,JARDIN
104611,Кофе Julius Meinl Президент классическая коллекция в зернах,https://online.metro-cc.ru/products/julius-meinl-president-250g,409,419,JULIUS MEINL
230305,Кофе Monarch Original растворимый,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g,899,1 099,MONARCH
581769,Кофе Jacobs Monarch Классический в зернах,https://online.metro-cc.ru/products/jacobs-monarch-klassicheskij-v-zernah-800-g,989,989,JACOBS
260443,Кофе Carte Noire Instinct растворимый,https://online.metro-cc.ru/products/art_260443,449,439,CARTE NOIRE
530964,RIOBA Кофе в капсулах Decaffeinato без кофеина для кофемашин Nespresso 11шт,https://online.metro-cc.ru/products/rioba-dlya-kofemashin-decaffein-11x5g,299,284,RIOBA
